county,confirmed,confirmed/1M,confirmed/sqmi,days_since_peak,deaths,deaths/1M,last_peak_pct,last_peak_value,new_cases/1M,pct_change_2day,pct_change_2day_prev
"Monroe, NY",512,689.5864366967733,0.7790508361102235,3,14,18.855879128427393,3,0,59.26133440362895,0.10410509031198689,0.28070752455598547
"Denver, CO",716,999.3133210140518,4.620249080467187,4,14,19.53964594161554,0,0,79.55427276229183,0.10539997558373448,0.04359925788497221
"El Paso, CO",374,523.9151873767258,0.17585104382170394,4,18,25.215169445938677,0,0,36.421911421911425,0.09140127388535035,0.04895104895104896
"Polk, FL",142,200.56242222909594,0.07061163600198907,2,4,5.649645696594252,2,2,32.485462755416954,0.17514254892895664,0.1981795241528479
"Norfolk, MA",1199,1699.7737415436611,3.0269369619550126,0,25,35.441487521761076,0,0,151.68956659313739,0.13072045786107056,0.12739497419099644
"Lake, IL",683,974.2084378146922,1.539432461063403,8,13,18.542766751963395,3,0,96.99293377950083,0.12464059454191034,0.17914827569481495
"Jackson, MO",135,192.77259830331553,0.22333984051881017,0,3,4.283835517851457,0,0,0.0,0.15533980582524276,0.15727876774388394
"Davidson, TN",741,1069.9016874414333,1.4701505862746267,3,6,8.66317155823023,1,1,98.18261099327593,0.09598126086905079,0.08039154831320566
"Will, IL",582,840.6638644537852,0.6954152776284188,0,11,15.888835926102468,0,0,102.55521370484321,0.23200835622710614,0.3024136428026588
"Bernalillo, NM",202,297.6273793614567,0.17401342143121734,1,7,10.31382007688216,0,0,79.56375487880524,0.25607584328514565,0.13861386138613863
"Hudson, NJ",3491,5163.735225075844,75.5791296817493,0,78,115.3742043987155,1,0,835.7234036573623,0.24014598823703082,0.18888591864278592
